employee_id,employee_code,first_name,last_name,full_name,gender,date_of_birth,email,phone_number,branch_id,department,designation,manager_id,joining_date,experience_years,salary,employment_type,performance_rating,employee_status
30,BKAIEMP920391,Tanmayi,Acharya,Tanmayi Acharya,Female,1979-07-16,tanmayi.acharya30@bankai.com,4369957773,86,Operations,Assistant Manager,9.0,2021-07-05,21,85800,Permanent,3.5,Active
31,BKAIEMP466643,Brijesh,Mander,Brijesh Mander,Male,1986-07-14,brijesh.mander31@bankai.com,1343320037,30,Operations,Relationship Manager,1.0,2020-07-05,29,71113,Permanent,4.7,Active
32,BKAIEMP812526,Sarthak,Hayer,Sarthak Hayer,Male,1971-07-18,sarthak.hayer32@bankai.com,7632016328,43,Retail Banking,Customer Service Executive,8.0,2018-07-06,25,30851,Permanent,5.0,Active
33,BKAIEMP557592,Jeet,Dara,Jeet Dara,Male,1967-07-19,jeet.dara33@bankai.com,2788957986,66,Corporate Banking,Cashier,25.0,2008-07-08,20,31228,Permanent,4.3,Active
34,BKAIEMP481913,Vyanjana,Sengupta,Vyanjana Sengupta,Female,1978-07-16,vyanjana.sengupta34@bankai.com,3487347143,9,Finance,Customer Service Executive,21.0,2023-07-05,12,34840,Permanent,4.2,Active
35,BKAIEMP540869,Banjeet,Devi,Banjeet Devi,Male,1981-07-15,banjeet.devi35@bankai.com,3623166587,87,Loans,Customer Service Executive,20.0,2014-07-07,12,42954,Permanent,3.3,Active
36,BKAIEMP587575,Ucchal,Ramachandran,Ucchal Ramachandran,Female,1977-07-16,ucchal.ramachandran36@bankai.com,9670546688,57,Operations,Customer Service Executive,33.0,2011-07-08,20,30560,Permanent,3.2,Active
37,BKAIEMP805477,Imaran,Mahajan,Imaran Mahajan,Male,1986-07-14,imaran.mahajan37@bankai.com,7065627298,29,Operations,Assistant Manager,10.0,2026-07-04,15,61514,Permanent,3.7,Active
38,BKAIEMP853240,Agastya,Chacko,Agastya Chacko,Male,1981-07-15,agastya.chacko38@bankai.com,2720465375,64,Risk Management,Cashier,16.0,2022-07-05,12,25181,Permanent,4.7,Active
39,BKAIEMP587115,Ucchal,Krishnan,Ucchal Krishnan,Female,2002-07-10,ucchal.krishnan39@bankai.com,7080531003,72,Operations,Relationship Manager,8.0,2012-07-07,33,53738,Permanent,4.2,Inactive
40,BKAIEMP742412,Faraj,Khare,Faraj Khare,Male,1973-07-17,faraj.khare40@bankai.com,7193745299,55,Human Resources,Clerk,29.0,2021-07-05,28,34184,Permanent,3.6,Active
41,BKAIEMP608136,Darika,Bal,Darika Bal,Female,1990-07-13,darika.bal41@bankai.com,9663193149,36,Compliance,Loan Officer,5.0,2017-07-06,33,50367,Permanent,3.3,Active
42,BKAIEMP840734,Oscar,Walia,Oscar Walia,Male,1992-07-12,oscar.walia42@bankai.com,5185067165,9,Risk Management,Loan Officer,27.0,2016-07-06,9,65534,Permanent,3.0,Active
43,BKAIEMP998348,Hema,Vig,Hema Vig,Female,1969-07-18,hema.vig43@bankai.com,9877694531,49,Compliance,Customer Service Executive,1.0,2015-07-07,1,34784,Permanent,4.6,Active
44,BKAIEMP938722,Vincent,Raghavan,Vincent Raghavan,Male,1967-07-19,vincent.raghavan44@bankai.com,0752735454,29,Compliance,Operations Executive,15.0,2018-07-06,34,44281,Permanent,3.5,Active
45,BKAIEMP233827,Aashi,Varughese,Aashi Varughese,Female,1966-07-19,aashi.varughese45@bankai.com,1367837770,69,Retail Banking,Operations Executive,26.0,2008-07-08,29,48493,Permanent,2.7,Active
46,BKAIEMP497519,Tanmayi,Kohli,Tanmayi Kohli,Female,1985-07-14,tanmayi.kohli46@bankai.com,9578856855,28,Compliance,Relationship Manager,21.0,2016-07-06,16,69846,Permanent,4.9,Active
47,BKAIEMP154615,Ladli,Kashyap,Ladli Kashyap,Female,1983-07-15,ladli.kashyap47@bankai.com,3518233749,29,Corporate Banking,Cashier,42.0,2025-07-04,34,26016,Contract,3.0,Active
48,BKAIEMP691364,Chandresh,Hari,Chandresh Hari,Male,1992-07-12,chandresh.hari48@bankai.com,3524082400,60,Customer Service,Relationship Manager,24.0,2021-07-05,7,52506,Permanent,2.9,Active
49,BKAIEMP515922,Yatan,Chauhan,Yatan Chauhan,Male,1993-07-12,yatan.chauhan49@bankai.com,9477752047,10,Information Technology,Credit Analyst,45.0,2006-07-09,24,65915,Permanent,4.4,Active
50,BKAIEMP464069,Yatan,Borah,Yatan Borah,Male,1971-07-18,yatan.borah50@bankai.com,2294131869,55,Finance,Relationship Manager,5.0,2010-07-08,2,67362,Permanent,3.6,Active
51,BKAIEMP841666,Ranveer,Seshadri,Ranveer Seshadri,Male,1996-07-11,ranveer.seshadri51@bankai.com,4964990913,56,Loans,Cashier,47.0,2010-07-08,29,33850,Permanent,4.8,Active
52,BKAIEMP437960,Farhan,Khatri,Farhan Khatri,Male,1990-07-13,farhan.khatri52@bankai.com,8120679740,12,Customer Service,Sales Executive,29.0,2019-07-06,17,54591,Permanent,4.0,Active
53,BKAIEMP611233,Utkarsh,Bobal,Utkarsh Bobal,Male,1992-07-12,utkarsh.bobal53@bankai.com,4936183242,46,Customer Service,Sales Executive,22.0,2018-07-06,11,58846,Permanent,4.7,Active
54,BKAIEMP855053,Mitesh,Mani,Mitesh Mani,Male,1979-07-16,mitesh.mani54@bankai.com,1746488771,63,Human Resources,Relationship Manager,49.0,2019-07-06,15,76201,Permanent,3.7,Active
55,BKAIEMP421080,Neel,Krishna,Neel Krishna,Male,1968-07-18,neel.krishna55@bankai.com,1399049027,48,Compliance,Loan Officer,36.0,2010-07-08,15,57528,Permanent,4.4,Active
56,BKAIEMP341736,Hemangini,Sarin,Hemangini Sarin,Female,1998-07-11,hemangini.sarin56@bankai.com,1756551256,93,Operations,Loan Officer,21.0,2023-07-05,16,47133,Permanent,4.3,Active
57,BKAIEMP205409,Andrew,Sha,Andrew Sha,Male,1993-07-12,andrew.sha57@bankai.com,5451680876,38,Operations,Operations Executive,24.0,2021-07-05,18,39904,Permanent,3.8,Active
58,BKAIEMP768854,Radhika,Tara,Radhika Tara,Female,1974-07-17,radhika.tara58@bankai.com,0348247710,14,Retail Banking,Customer Service Executive,37.0,2017-07-06,8,40381,Permanent,3.4,Active
59,BKAIEMP962050,Nachiket,Atwal,Nachiket Atwal,Male,2001-07-10,nachiket.atwal59@bankai.com,1317127484,52,Compliance,Sales Executive,5.0,2008-07-08,7,50625,Permanent,2.9,Active
60,BKAIEMP224205,Keya,Shan,Keya Shan,Female,1970-07-18,keya.shan60@bankai.com,6398214658,98,Risk Management,Assistant Manager,39.0,2007-07-09,15,85910,Permanent,4.4,Active
61,BKAIEMP420214,Neha,Suri,Neha Suri,Female,1969-07-18,neha.suri61@bankai.com,7875588675,80,Retail Banking,Loan Officer,40.0,2023-07-05,27,48617,Permanent,3.2,Active
62,BKAIEMP102805,Rehaan,Kaur,Rehaan Kaur,Male,1979-07-16,rehaan.kaur62@bankai.com,0576627028,58,Information Technology,Customer Service Executive,31.0,2017-07-06,10,26069,Permanent,4.3,Active
63,BKAIEMP926097,Thomas,Chaudhry,Thomas Chaudhry,Male,1968-07-18,thomas.chaudhry63@bankai.com,0262174596,85,Operations,Operations Executive,28.0,2023-07-05,16,47844,Permanent,2.9,Active
64,BKAIEMP723948,Ranveer,Nadig,Ranveer Nadig,Male,1969-07-18,ranveer.nadig64@bankai.com,8091343161,37,Compliance,Assistant Manager,16.0,2012-07-07,19,82566,Permanent,3.5,Active
65,BKAIEMP553014,Mason,Balakrishnan,Mason Balakrishnan,Male,1985-07-14,mason.balakrishnan65@bankai.com,5045562386,78,Customer Service,Cashier,4.0,2024-07-04,2,32501,Contract,4.6,Active
66,BKAIEMP704238,Harita,Brar,Harita Brar,Female,2003-07-10,harita.brar66@bankai.com,9379237474,98,Loans,Clerk,61.0,2010-07-08,17,32674,Permanent,3.2,Inactive
67,BKAIEMP592841,Farhan,Borah,Farhan Borah,Male,1983-07-15,farhan.borah67@bankai.com,5946474367,53,Finance,Sales Executive,42.0,2023-07-05,5,58106,Permanent,3.5,Active
68,BKAIEMP138479,Praneel,Merchant,Praneel Merchant,Male,1976-07-16,praneel.merchant68@bankai.com,0640909743,12,Finance,Cashier,33.0,2016-07-06,35,28798,Contract,3.5,Active
69,BKAIEMP584417,Ikshita,Krishna,Ikshita Krishna,Female,1979-07-16,ikshita.krishna69@bankai.com,1047095214,7,Operations,Customer Service Executive,67.0,2015-07-07,34,41334,Permanent,4.4,Active
70,BKAIEMP832168,Harish,Deo,Harish Deo,Male,1974-07-17,harish.deo70@bankai.com,8842474517,16,Retail Banking,Credit Analyst,31.0,2021-07-05,28,70365,Permanent,3.9,Active
71,BKAIEMP223172,Sneha,Pau,Sneha Pau,Female,1996-07-11,sneha.pau71@bankai.com,6048175496,64,Customer Service,Credit Analyst,66.0,2018-07-06,29,77229,Permanent,5.0,Active
72,BKAIEMP882544,Warinder,Bakshi,Warinder Bakshi,Male,1997-07-11,warinder.bakshi72@bankai.com,9317461200,9,Customer Service,Cashier,54.0,2016-07-06,32,41637,Permanent,2.5,Active
73,BKAIEMP255813,Chasmum,Keer,Chasmum Keer,Female,1977-07-16,chasmum.keer73@bankai.com,6758692617,69,Compliance,Customer Service Executive,45.0,2016-07-06,31,43085,Permanent,3.4,Active
74,BKAIEMP699573,Anamika,Prabhakar,Anamika Prabhakar,Female,1981-07-15,anamika.prabhakar74@bankai.com,7735158506,30,Risk Management,Clerk,6.0,2016-07-06,15,34201,Permanent,4.8,Active
75,BKAIEMP619389,Vasana,Chand,Vasana Chand,Female,2003-07-10,vasana.chand75@bankai.com,9005329318,17,Human Resources,Sales Executive,43.0,2023-07-05,9,58645,Permanent,2.7,Active
76,BKAIEMP178463,Jackson,Narasimhan,Jackson Narasimhan,Male,1975-07-17,jackson.narasimhan76@bankai.com,9042284210,34,Finance,Relationship Manager,51.0,2006-07-09,9,50263,Permanent,4.6,Active
77,BKAIEMP667296,Jagat,Naik,Jagat Naik,Male,2003-07-10,jagat.naik77@bankai.com,2402681177,80,Corporate Banking,Loan Officer,31.0,2006-07-09,31,53833,Contract,4.4,Active
78,BKAIEMP565230,Chatura,Seth,Chatura Seth,Male,1995-07-12,chatura.seth78@bankai.com,9084700766,89,Customer Service,Customer Service Executive,4.0,2025-07-04,6,35629,Permanent,3.2,Active
79,BKAIEMP278240,Balhaar,Buch,Balhaar Buch,Male,1994-07-12,balhaar.buch79@bankai.com,9212499856,11,Information Technology,Customer Service Executive,49.0,2007-07-09,11,32891,Permanent,4.0,Active
80,BKAIEMP943718,Utkarsh,Tiwari,Utkarsh Tiwari,Male,1976-07-16,utkarsh.tiwari80@bankai.com,1183673657,37,Human Resources,Cashier,21.0,2024-07-04,0,39474,Contract,5.0,Active
81,BKAIEMP986365,Nirja,Sane,Nirja Sane,Female,1986-07-14,nirja.sane81@bankai.com,4527111161,26,Risk Management,Operations Executive,62.0,2023-07-05,29,37772,Permanent,3.4,Active
82,BKAIEMP387813,Ayushman,Narayan,Ayushman Narayan,Male,2005-07-09,ayushman.narayan82@bankai.com,6560494519,73,Retail Banking,Assistant Manager,78.0,2011-07-08,25,87290,Permanent,3.2,Active
83,BKAIEMP751051,Wridesh,Kapur,Wridesh Kapur,Male,1989-07-13,wridesh.kapur83@bankai.com,5851493689,87,Loans,Cashier,81.0,2023-07-05,12,26291,Permanent,3.6,Active
84,BKAIEMP442589,Lila,Balakrishnan,Lila Balakrishnan,Female,1979-07-16,lila.balakrishnan84@bankai.com,4455022961,23,Operations,Assistant Manager,17.0,2009-07-08,18,88719,Contract,3.8,Active
85,BKAIEMP945664,Zilmil,Kale,Zilmil Kale,Female,1987-07-14,zilmil.kale85@bankai.com,6752545991,96,Finance,Loan Officer,15.0,2012-07-07,30,39934,Permanent,4.9,Active
86,BKAIEMP483542,Arya,Bumb,Arya Bumb,Female,2000-07-10,arya.bumb86@bankai.com,7679764381,51,Retail Banking,Clerk,34.0,2009-07-08,35,24024,Permanent,4.2,Active
87,BKAIEMP213609,Lucky,Sur,Lucky Sur,Male,1991-07-13,lucky.sur87@bankai.com,0369003432,61,Retail Banking,Sales Executive,80.0,2009-07-08,23,40748,Permanent,3.1,Active
88,BKAIEMP780776,Dipta,Amble,Dipta Amble,Female,1979-07-16,dipta.amble88@bankai.com,6226838851,15,Loans,Credit Analyst,6.0,2025-07-04,19,69946,Contract,2.8,Active
89,BKAIEMP803055,Aditya,Sharaf,Aditya Sharaf,Male,1971-07-18,aditya.sharaf89@bankai.com,5969664160,54,Information Technology,Cashier,20.0,2013-07-07,23,28244,Permanent,4.0,Active
90,BKAIEMP564920,Victor,Pathak,Victor Pathak,Male,1977-07-16,victor.pathak90@bankai.com,6136968164,31,Finance,Operations Executive,13.0,2015-07-07,13,47841,Permanent,4.1,Active
91,BKAIEMP196126,Frado,Bose,Frado Bose,Male,1992-07-12,frado.bose91@bankai.com,8835523124,83,Information Technology,Clerk,3.0,2025-07-04,29,34890,Permanent,5.0,Active
92,BKAIEMP317220,Faraj,Borra,Faraj Borra,Male,1968-07-18,faraj.borra92@bankai.com,7799799552,28,Operations,Sales Executive,43.0,2022-07-05,35,55842,Permanent,2.5,Active
93,BKAIEMP937302,Timothy,Mitter,Timothy Mitter,Male,1994-07-12,timothy.mitter93@bankai.com,9058147700,15,Retail Banking,Relationship Manager,17.0,2026-07-04,16,68477,Permanent,3.1,Active
94,BKAIEMP651640,Chakradev,Tripathi,Chakradev Tripathi,Male,1998-07-11,chakradev.tripathi94@bankai.com,7980793597,96,Corporate Banking,Assistant Manager,61.0,2012-07-07,26,85494,Permanent,4.0,Active
95,BKAIEMP416282,Umang,Chauhan,Umang Chauhan,Male,1976-07-16,umang.chauhan95@bankai.com,1820377889,83,Retail Banking,Customer Service Executive,8.0,2011-07-08,33,38160,Permanent,2.8,Active
96,BKAIEMP737846,Lohit,Ram,Lohit Ram,Male,1996-07-11,lohit.ram96@bankai.com,5905151864,9,Loans,Credit Analyst,36.0,2007-07-09,20,88362,Permanent,3.3,Inactive
97,BKAIEMP203996,Ojas,Bumb,Ojas Bumb,Male,1998-07-11,ojas.bumb97@bankai.com,5462914865,84,Human Resources,Cashier,93.0,2020-07-05,27,39092,Permanent,3.1,Active
98,BKAIEMP427730,Siddharth,Trivedi,Siddharth Trivedi,Male,1978-07-16,siddharth.trivedi98@bankai.com,0542357332,41,Customer Service,Cashier,48.0,2022-07-05,6,40540,Permanent,4.6,Active
99,BKAIEMP683397,Chandresh,Tripathi,Chandresh Tripathi,Male,2002-07-10,chandresh.tripathi99@bankai.com,5929622292,76,Human Resources,Operations Executive,72.0,2016-07-06,8,51954,Permanent,3.4,Active
100,BKAIEMP401601,Rajata,Khanna,Rajata Khanna,Female,1967-07-19,rajata.khanna100@bankai.com,9473834735,40,Finance,Sales Executive,14.0,2008-07-08,3,46626,Permanent,4.1,Active
101,BKAIEMP220465,Lohit,Raja,Lohit Raja,Male,1988-07-13,lohit.raja101@bankai.com,2392407581,74,Operations,Sales Executive,55.0,2009-07-08,23,55147,Permanent,4.0,Active
102,BKAIEMP130359,Benjamin,Dyal,Benjamin Dyal,Male,1994-07-12,benjamin.dyal102@bankai.com,7826137506,35,Customer Service,Credit Analyst,44.0,2015-07-07,17,50400,Permanent,2.9,Active
103,BKAIEMP196214,Rachit,Keer,Rachit Keer,Male,1972-07-17,rachit.keer103@bankai.com,1530515220,28,Risk Management,Operations Executive,54.0,2012-07-07,1,41170,Permanent,3.3,Active
104,BKAIEMP263137,Vrinda,Sen,Vrinda Sen,Female,1995-07-12,vrinda.sen104@bankai.com,1043289861,97,Information Technology,Customer Service Executive,7.0,2024-07-04,3,33916,Permanent,3.6,Active
105,BKAIEMP219346,Darsh,Batta,Darsh Batta,Male,1983-07-15,darsh.batta105@bankai.com,6971179808,56,Corporate Banking,Relationship Manager,37.0,2008-07-08,32,76891,Permanent,3.3,Active
106,BKAIEMP416061,Mugdha,Sanghvi,Mugdha Sanghvi,Female,1992-07-12,mugdha.sanghvi106@bankai.com,9539621851,99,Loans,Assistant Manager,98.0,2018-07-06,13,69484,Permanent,2.5,Active
107,BKAIEMP624563,Zehaan,Bahri,Zehaan Bahri,Male,1970-07-18,zehaan.bahri107@bankai.com,7065405153,86,Finance,Cashier,10.0,2014-07-07,14,26386,Permanent,3.6,Active
108,BKAIEMP843963,Ekalinga,Basu,Ekalinga Basu,Male,1979-07-16,ekalinga.basu108@bankai.com,8527722170,38,Corporate Banking,Cashier,52.0,2026-07-04,25,35642,Permanent,4.9,Active
109,BKAIEMP985506,Harish,Barman,Harish Barman,Male,1999-07-11,harish.barman109@bankai.com,4868740345,32,Risk Management,Cashier,76.0,2014-07-07,27,42169,Permanent,4.7,Active
110,BKAIEMP635280,David,Pillai,David Pillai,Male,1998-07-11,david.pillai110@bankai.com,6765277584,68,Human Resources,Operations Executive,25.0,2015-07-07,4,41504,Permanent,4.5,Active
111,BKAIEMP281926,Tanveer,Gole,Tanveer Gole,Male,1967-07-19,tanveer.gole111@bankai.com,5115447962,20,Corporate Banking,Relationship Manager,23.0,2006-07-09,12,77382,Permanent,3.9,Active
112,BKAIEMP757685,Ansh,Pandit,Ansh Pandit,Male,1985-07-14,ansh.pandit112@bankai.com,4016582029,20,Compliance,Credit Analyst,9.0,2011-07-08,20,78980,Permanent,4.5,Active
113,BKAIEMP573866,Bahadurjit,Keer,Bahadurjit Keer,Male,2003-07-10,bahadurjit.keer113@bankai.com,5690927557,8,Finance,Assistant Manager,107.0,2017-07-06,29,62514,Permanent,4.9,Active
114,BKAIEMP930281,Qadim,Rao,Qadim Rao,Male,2003-07-10,qadim.rao114@bankai.com,4310278681,58,Information Technology,Cashier,84.0,2020-07-05,35,35535,Permanent,3.8,Active
115,BKAIEMP849014,Hredhaan,Mangal,Hredhaan Mangal,Male,2000-07-10,hredhaan.mangal115@bankai.com,3121727155,65,Loans,Sales Executive,6.0,2019-07-06,21,53187,Permanent,3.6,Active
116,BKAIEMP506235,Maanav,Mital,Maanav Mital,Male,1979-07-16,maanav.mital116@bankai.com,2583132370,100,Finance,Cashier,87.0,2007-07-09,18,26715,Permanent,4.1,Active
117,BKAIEMP364236,Qarin,Sibal,Qarin Sibal,Male,1967-07-19,qarin.sibal117@bankai.com,9114678669,20,Finance,Customer Service Executive,11.0,2008-07-08,18,29634,Permanent,3.3,Active
118,BKAIEMP424620,Balhaar,Sengupta,Balhaar Sengupta,Male,1970-07-18,balhaar.sengupta118@bankai.com,8528922680,49,Finance,Relationship Manager,105.0,2022-07-05,5,79497,Permanent,4.2,Active
119,BKAIEMP458332,Max,Gala,Max Gala,Male,1974-07-17,max.gala119@bankai.com,5358414384,25,Operations,Loan Officer,18.0,2022-07-05,13,40057,Permanent,4.5,Active
120,BKAIEMP139581,Chakradhar,Thakkar,Chakradhar Thakkar,Male,1984-07-14,chakradhar.thakkar120@bankai.com,9922995900,99,Information Technology,Operations Executive,17.0,2007-07-09,33,42344,Permanent,3.0,Active
121,BKAIEMP145814,Kevin,Kade,Kevin Kade,Male,1979-07-16,kevin.kade121@bankai.com,9078447364,47,Operations,Credit Analyst,57.0,2007-07-09,28,68673,Permanent,4.5,Active
122,BKAIEMP975679,Farhan,Sarraf,Farhan Sarraf,Male,1993-07-12,farhan.sarraf122@bankai.com,7735925556,48,Information Technology,Clerk,57.0,2012-07-07,30,34606,Permanent,3.5,Active
123,BKAIEMP362147,Damyanti,Nagar,Damyanti Nagar,Female,2002-07-10,damyanti.nagar123@bankai.com,7147321046,83,Compliance,Sales Executive,112.0,2015-07-07,8,48171,Contract,4.3,Active
124,BKAIEMP386042,Fariq,Narang,Fariq Narang,Male,1977-07-16,fariq.narang124@bankai.com,3278774701,66,Loans,Assistant Manager,107.0,2013-07-07,10,63005,Contract,3.1,Active
125,BKAIEMP515712,Jai,Kale,Jai Kale,Male,1973-07-17,jai.kale125@bankai.com,0047974801,48,Operations,Assistant Manager,50.0,2024-07-04,3,72285,Permanent,3.3,Active
126,BKAIEMP244283,Rajeshri,Rau,Rajeshri Rau,Female,2003-07-10,rajeshri.rau126@bankai.com,0609835841,37,Compliance,Cashier,90.0,2022-07-05,9,40371,Permanent,2.5,Active
127,BKAIEMP862560,Logan,Dani,Logan Dani,Male,1967-07-19,logan.dani127@bankai.com,1655852398,68,Risk Management,Sales Executive,15.0,2017-07-06,35,37786,Permanent,2.6,Active
128,BKAIEMP977330,Aradhana,Barad,Aradhana Barad,Female,1974-07-17,aradhana.barad128@bankai.com,5787298259,77,Human Resources,Cashier,5.0,2006-07-09,7,41887,Permanent,4.3,Active
129,BKAIEMP296412,Mason,Nayar,Mason Nayar,Male,2000-07-10,mason.nayar129@bankai.com,9470551694,68,Finance,Cashier,18.0,2010-07-08,26,42828,Permanent,5.0,Active
130,BKAIEMP491435,Kevin,Kari,Kevin Kari,Male,1989-07-13,kevin.kari130@bankai.com,9728962309,96,Retail Banking,Cashier,92.0,2024-07-04,24,36298,Permanent,4.1,Active
131,BKAIEMP146489,Thomas,Murthy,Thomas Murthy,Male,1983-07-15,thomas.murthy131@bankai.com,2636897028,70,Finance,Operations Executive,45.0,2012-07-07,8,52786,Permanent,3.0,Active
132,BKAIEMP407696,Waida,Vora,Waida Vora,Female,1993-07-12,waida.vora132@bankai.com,5278585497,6,Operations,Clerk,11.0,2016-07-06,2,27080,Permanent,5.0,Active
133,BKAIEMP400009,Manthan,Kar,Manthan Kar,Male,1983-07-15,manthan.kar133@bankai.com,4375758441,100,Retail Banking,Operations Executive,85.0,2018-07-06,12,34078,Permanent,3.6,Active
